level=4  	child=4  	airframe      	/	airfreighter  	/	airlike       	/	airline       
level=3  	child=3  	airslake      	/	ajutage       	/	alas          	/	alchemist     
level=4  	child=0  	airpark       	/	airplane      	/	airscrew      	/	airsickness   
level=4  	child=1  	airspeed      	/	airstrip      	/	airways       	/	airworthiness 
level=4  	child=2  	alabandite    	/	alan          	/	alarmism      	/	alary         
level=4  	child=3  	albeit        	/	albumenize    	/	alcazar       	/	alchemic      
level=4  	child=4  	alcohol       	/	alcoholicity  	/	alcoholism    	/	alcula        
level=3  	child=4  	algebrist     	/	algous        	/	alienee       	/	alkekengi     
level=4  	child=0  	alfine        	/	algal         	/	algebra       	/	algebraist    
level=4  	child=1  	algetic       	/	algologist    	/	algology      	/	algometry     
level=4  	child=2  	alibility     	/	alible        	/	alienable     	/	alienate      
level=4  	child=3  	alienor       	/	alimentation  	/	alimentotherapy	/	alkalinization
level=4  	child=4  	alkyne        	/	allan         	/	allegedly     	/	allegory      
level=2  	child=3  	alptop        	/	ambit         	/	amnesia       	/	amputation    
level=3  	child=0  	allness       	/	allotment     	/	almighty      	/	alpeen        
level=4  	child=0  	alleviation   	/	alleviator    	/	alliteration  	/	allium        
level=4  	child=1  	allochroic    	/	allodiality   	/	allodially    	/	allotheism    
level=4  	child=2  	allseed       	/	allure        	/	alluring      	/	almightiness  
level=4  	child=3  	almsgiver     	/	alogical      	/	alors         	/	aloud         
level=4  	child=4  	alpenhorn     	/	alphabet      	/	alphametic    	/	alpheus       
level=3  	child=1  	alternating   	/	altostratus   	/	alveolitis    	/	amberfish     
level=4  	child=0  	already       	/	also          	/	alter         	/	alterant      
level=4  	child=1  	altimeter     	/	altiplano     	/	altissimo     	/	altocumulus   
level=4  	child=2  	alum          	/	aluminothermy 	/	aluminum      	/	alutaceous    
level=4  	child=3  	amaze         	/	ambary        	/	ambassador    	/	ambeer        
level=4  	child=4  	amberjack     	/	amberoid      	/	ambidexterity 	/	ambilateral   
level=3  	child=2  	ameliorable   	/	amerenglish   	/	ametabolic    	/	aminate       
level=4  	child=0  	ambiversion   	/	amblyopia     	/	ambulant      	/	ambulate      
level=4  	child=1  	ameliorant    	/	amendable     	/	amentia       	/	amerciable    
level=4  	child=2  	americanese   	/	americanisation	/	americanization	/	americanize   
level=4  	child=3  	amicably      	/	amice         	/	amiga         	/	amigo         
level=4  	child=4  	amine         	/	ammeter       	/	ammocete      	/	ammonium      
level=3  	child=3  	amortise      	/	amperage      	/	amphictyony   	/	amplification 
level=4  	child=0  	amniotin      	/	amole         	/	amoretto      	/	amorism       
level=4  	child=1  	amortisement  	/	amortize      	/	amortizement  	/	amotivational 
level=4  	child=2  	ampere        	/	amperehour    	/	amphiarthrosis	/	amphibious    
level=4  	child=3  	amphioxus     	/	amphiphyte    	/	amphoteric    	/	amplectant    
level=4  	child=4  	amplificatory 	/	amplitudinous 	/	ampulla       	/	ampullaceous  
level=3  	child=4  	amylolysis    	/	anabas        	/	anaesthetise  	/	analyser      
level=4  	child=0  	amuck         	/	amulet        	/	amusing       	/	amygdule      
level=4  	child=1  	amylopsin     	/	amylum        	/	amyotonia     	/	amyotrophia   
level=4  	child=2  	anabranch     	/	anachronism   	/	anaesthesiologist	/	anaesthetics  
level=4  	child=3  	anaesthetist  	/	anagenesis    	/	anagrammatism 	/	analogism     
level=4  	child=4  	analyzing     	/	ananas        	/	anandrous     	/	ananym        
level=2  	child=4  	anesthetist   	/	aniconism     	/	annulation    	/	anteport      
level=3  	child=0  	ancipital     	/	andirons      	/	anecdotage    	/	anemophily    
level=4  	child=0  	anba          	/	anchithere    	/	anchoress     	/	anchovy       
level=4  	child=1  	ancress       	/	andaman       	/	andersen      	/	andesite      
level=4  	child=2  	androecium    	/	android       	/	andrology     	/	androphagous  
level=4  	child=3  	anecdotical   	/	anelasticity  	/	anemology     	/	anemometry    
level=4  	child=4  	anemoscope    	/	anent         	/	anesthesiologist	/	anesthesiology
level=3  	child=1  	angelet       	/	angelology    	/	angler        	/	anguilliform  
level=4  	child=0  	aneuploid     	/	aneurism      	/	aneurysm      	/	anew          
level=4  	child=1  	angelica      	/	angelically   	/	angelologic   	/	angelological 
level=4  	child=2  	angelophany   	/	angiosperm    	/	angled        	/	anglepod      
level=4  	child=3  	anglistics    	/	anglo         	/	anglophobe    	/	angrily       
level=4  	child=4  	angular       	/	anhinga       	/	anhydride     	/	anhydrous     
level=3  	child=2  	animalize     	/	ankyloglossia 	/	annam         	/	annotator     
level=4  	child=0  	anigh         	/	anility       	/	animal        	/	animalcule    
level=4  	child=1  	anime         	/	anion         	/	anisette      	/	ankle         
level=4  	child=2  	anlace        	/	anna          	/	annal         	/	annalistic    
level=4  	child=3  	annealing     	/	annexation    	/	anniversary   	/	annoit        
level=4  	child=4  	announceable  	/	announcing    	/	annuities     	/	annularly     
level=3  	child=3  	anonymous     	/	antares       	/	antelucan     	/	antennal      
level=4  	child=0  	annuli        	/	annulose      	/	annulus       	/	annum         
level=4  	child=1  	anorthic      	/	anourous      	/	anta          	/	antarctica    
level=4  	child=2  	antebrachium  	/	antechamber   	/	antehall      	/	antelope      
level=4  	child=3  	antemarital   	/	antemeridian  	/	antemortem    	/	antenna       
level=4  	child=4  	antennate     	/	antennule     	/	antenuptial   	/	anteporch     
level=3  	child=4  	anthelion     	/	anthophagy    	/	anthropology  	/	antiaircraft  
level=4  	child=0  	anteprandial  	/	anteprohibition	/	antetype      	/	antewar       
level=4  	child=1  	anther        	/	antheral      	/	anthography   	/	anthologize   
level=4  	child=2  	anthracite    	/	anthrop       	/	anthropolatry 	/	anthropologic 
level=4  	child=3  	anthroponym   	/	anthropophagous	/	anthropophagy 	/	anthroposophy 
level=4  	child=4  	antianxity    	/	antiauxin     	/	antiballistic 	/	antibilious   
level=1  	child=1  	approvable    	/	asbestus      	/	audiometer    	/	baccy         
level=2  	child=0  	antinode      	/	antonomasia   	/	apheliotropic 	/	apostolic     
level=3  	child=0  	anticline     	/	antidraft     	/	antihuman     	/	antimechanized
level=4  	child=0  	antiblack     	/	antibody      	/	anticaries    	/	anticipative  
level=4  	child=1  	anticompetitive	/	anticorrosive 	/	anticyclonic  	/	antidotal     
level=4  	child=2  	antifeudal    	/	antiforeign   	/	antigropelos  	/	antihelix     
level=4  	child=3  	antilope      	/	antimacassar  	/	antimagnetic  	/	antimatter    
level=4  	child=4  	antimissile   	/	antimonsoon   	/	antimony      	/	antineutron   
level=3  	child=1  	antiparallel  	/	antiphrasis   	/	antiserum     	/	antitheist    
level=4  	child=0  	antinoise     	/	antinomy      	/	antinucleon   	/	antiozonant   
level=4  	child=1  	antipasto     	/	antipatriotic 	/	antipersonnel 	/	antiphonary   
level=4  	child=2  	antiproton    	/	antipsychotic 	/	antiquated    	/	antiresonance 
level=4  	child=3  	antiskid      	/	antispeculation	/	antisymmetric 	/	antitheism    
level=4  	child=4  	antithesis    	/	antitoxic     	/	antitoxin     	/	antivirus     
level=3  	child=2  	anxiolytic    	/	anywise       	/	apanage       	/	aperitif      
level=4  	child=0  	antonym       	/	antonymy      	/	anuresis      	/	anus          
level=4  	child=1  	anyone        	/	anyplace      	/	anything      	/	anywhere      
level=4  	child=2  	anzam         	/	anzuk         	/	aorta         	/	aortic        
level=4  	child=3  	apatite       	/	apepsia       	/	aperiodically 	/	aperiodicity  
level=4  	child=4  	apetalous     	/	apex          	/	aphasia       	/	aphasiology   
level=3  	child=3  	aphorist      	/	apiculus      	/	apodosis      	/	apoise        
level=4  	child=0  	aphemia       	/	aphemic       	/	aphis         	/	aphlogistic   
level=4  	child=1  	aphrodisia    	/	apian         	/	apiarist      	/	apiculture    
