(125.58118733704544, 378.81250257026045)
(241.9790390103879, 887.7520747143925)
(321.4506756701183, 452.6649325974847)
(351.9549402465805, 649.3371647352013)
(411.35798179021737, 864.472504379724)
(499.65980030102895, 233.5158739297433)
(537.3887591192847, 412.5277423652976)
(569.4985113050345, 600.369792651933)
(793.4640328006383, 142.00308020035675)
(811.1243965028007, 353.92744462630446)
(838.4176858606879, 544.1777263268712)
(880.9631075068062, 764.1295287992564)
(931.5359671993617, 948.7606038673168)
(1043.9200998494857, 332.25336190092344)
(1088.0710091048913, 487.98566000180926)
(1124.1944803138597, 711.1484376927694)
(1182.794778052853, 878.9218928633113)
(1242.1978195964898, 195.78691511148747)
(1252.6334890568585, 292.11617166873634)
(1263.0691585172272, 450.25670118355345)
(1327.2886628887263, 658.1673465862825)
(1436.4618203202751, 23.99974091772674)
(1449.3057211945752, 275.25855177121787)
(1457.3331592410125, 421.3579242163787)
(1471.7825477246, 623.6493629866015)
(1486.231936208187, 865.2752481843678)
